Mnemonic,Operands,Description,Byte,Oscillator Period,Class,BYTE0,BYTE1,BYTE2
ADD,"A,Rn",Add register to Accumulator,1,12,ARITHMETIC OPERATIONS,0x28+$2,,
ADD,"A,direct",Add direct byte to Accumulator,2,12,ARITHMETIC OPERATIONS,0x25,$2 ,
ADD,"A,@Ri",Add indirect RAM to Accumulator,1,12,ARITHMETIC OPERATIONS,0x26+$2,,
ADD,"A,#data",Add immediate data to Accumulator,2,12,ARITHMETIC OPERATIONS,0x24,$2 ,
ADDC,"A,Rn",Add register to Accumulator with Carry,1,12,ARITHMETIC OPERATIONS,0x38+$2,,
ADDC,"A,direct",Add direct byte to Accumulator with Carry,2,12,ARITHMETIC OPERATIONS,0x35,$2 ,
ADDC,"A,@Ri",Add indirect RAM to Accumulator with Carry,1,12,ARITHMETIC OPERATIONS,0x36+$2,,
ADDC,"A,#data",Add immediate data to Acc with Carry,2,12,ARITHMETIC OPERATIONS,0x34,$2 ,
SUBB,"A,Rn",Subtract Register from Acc with borrow,1,12,ARITHMETIC OPERATIONS,0x98+$2,,
SUBB,"A,direct",Subtract direct byte from Acc with borrow,2,12,ARITHMETIC OPERATIONS,0x95,$2 ,
SUBB,"A,@Ri",Subtract indirect RAM from ACC with borrow,1,12,ARITHMETIC OPERATIONS,0x96+$2,,
SUBB,"A,#data",Subtract immediate data from Acc with borrow,2,12,ARITHMETIC OPERATIONS,0x94,$2 ,
INC,A,Increment Accumulator,1,12,ARITHMETIC OPERATIONS,0x04,,
INC,Rn,Increment register,1,12,ARITHMETIC OPERATIONS,0x08+$1,,
INC,direct,Increment direct byte,2,12,ARITHMETIC OPERATIONS,0x05,$1 ,
INC,@Ri,Increment direct RAM,1,12,ARITHMETIC OPERATIONS,0x06+$1,,
DEC,A,Decrement Accumulator,1,12,ARITHMETIC OPERATIONS,0x14,,
DEC,Rn,Decrement Register,1,12,ARITHMETIC OPERATIONS,0x18+$1,,
DEC,direct,Decrement direct byte,2,12,ARITHMETIC OPERATIONS,0x15,$1 ,
DEC,@Ri,Decrement indirect RAM,1,12,ARITHMETIC OPERATIONS,0x16+$1,,
INC,DPTR,Increment Data Pointer,1,24,ARITHMETIC OPERATIONS,0xA3,,
MUL,AB,Multiply A & B,1,48,ARITHMETIC OPERATIONS,0xA4,,
DIV,AB,Divide A by B,1,48,ARITHMETIC OPERATIONS,0x84,,
DA,A,Decimal Adjust Accumulator,1,12,ARITHMETIC OPERATIONS,0xD4,,
CLR,C,Clear Carry,1,12,BOOLEAN VARIABLE MANIPULATION,0xC3,,
CLR,bit,Clear direct bit,2,12,BOOLEAN VARIABLE MANIPULATION,0xC2,$1 ,
SETB,C,Set Carry,1,12,BOOLEAN VARIABLE MANIPULATION,0xD3,,
SETB,bit,Set direct bit,2,12,BOOLEAN VARIABLE MANIPULATION,0xD2,$1 ,
CPL,C,Complement Carry,1,12,BOOLEAN VARIABLE MANIPULATION,0xB3,,
CPL,bit,Complement direct bit,2,12,BOOLEAN VARIABLE MANIPULATION,0xB2,$1 ,
ANL,"C,bit",AND direct bit to CARRY,2,24,BOOLEAN VARIABLE MANIPULATION,0x82,$2 ,
