Hex Code,Humber of Bytes,Mnemonic,Operands,param_count,param0,param1,param3
0,1,NOP,,-1,,,
1,2,AJMP,addr11,1,(((($0>>5)<<8)+($1&0xff))&0x7ff),,
2,3,LJMP,addr16,1,((($1<<8) + ($2&0xff))&0xffff),,
3,1,RR,A,-1,,,
4,1,INC,A,-1,,,
5,2,INC,data addr,1,(($1)&0xff),,
6,1,INC,@R0,-1,,,
7,1,INC,@R1,-1,,,
8,1,INC,R0,-1,,,
9,1,INC,R1,-1,,,
0A,1,INC,R2,-1,,,
0B,1,INC,R3,-1,,,
0C,1,INC,R4,-1,,,
0D,1,INC,R5,-1,,,
0E,1,INC,R6,-1,,,
0F,1,INC,R7,-1,,,
10,3,JBC,"bit addr,rel code addr",2,(($1)&0xff),(($2)&0xff),
11,2,ACALL,addr11,1,((($1&0xff) + (($0&0xe0)<<3))&0x7ff),,
12,3,LCALL,addr16,1,((($1<<8) + ($2&0xff))&0xffff),,
13,1,RRC,A,-1,,,
14,1,DEC,A,-1,,,
15,2,DEC,data addr,1,(($1)&0xff),,
16,1,DEC,@R0,-1,,,
17,1,DEC,@R1,-1,,,
18,1,DEC,R0,-1,,,
19,1,DEC,R1,-1,,,
1A,1,DEC,R2,-1,,,
1B,1,DEC,R3,-1,,,
1C,1,DEC,R4,-1,,,
1D,1,DEC,R5,-1,,,
1E,1,DEC,R6,-1,,,
1F,1,DEC,R7,-1,,,
20,3,JB,"bit addr,rel code addr",2,(($1+0)&0xff),(($2)&0xff),
21,2,AJMP,addr11,1,(((($0>>5)<<8)+($1&0xff))&0x7ff),,
22,1,RET,,-1,,,
23,1,RL,A,-1,,,
24,2,ADD,"A,#data",2,,(($1+0)&0xff),
25,2,ADD,"A,data addr",2,,(($1+0)&0xff),
26,1,ADD,"A,@R0",-1,,,
27,1,ADD,"A,@R1",-1,,,
28,1,ADD,"A,R0",-1,,,
29,1,ADD,"A,R1",-1,,,
2A,1,ADD,"A,R2",-1,,,
2B,1,ADD,"A,R3",-1,,,
2C,1,ADD,"A,R4",-1,,,
2D,1,ADD,"A,R5",-1,,,
2E,1,ADD,"A,R6",-1,,,
2F,1,ADD,"A,R7",-1,,,
30,3,JNB,"bit addr,rel code addr",2,(($1)&0xff),(($2)&0xff),
31,2,ACALL,addr11,1,((($1&0xff) + (($0&0xe0)<<3))&0x7ff),,
32,1,RETI,,-1,,,
33,1,RLC,A,-1,,,
34,2,ADDC,"A,#data",2,,(($1)&0xff),
35,2,ADDC,"A,data addr",2,,(($1)&0xff),
36,1,ADDC,"A,@R0",-1,,,
37,1,ADDC,"A,@R1",-1,,,
38,1,ADDC,"A,R0",-1,,,
39,1,ADDC,"A,R1",-1,,,
3A,1,ADDC,"A,R2",-1,,,
3B,1,ADDC,"A,R3",-1,,,
3C,1,ADDC,"A,R4",-1,,,
3D,1,ADDC,"A,R5",-1,,,
3E,1,ADDC,"A,R6",-1,,,
3F,1,ADDC,"A,R7",-1,,,
40,2,JC,rel code addr,1,(($1)&0xff),,
41,2,AJMP,abs code addr,1,(((($0>>5)<<8)+($1&0xff))&0x7ff),,
42,2,ORL,"data addr,A",2,(($1)&0xff),,
43,3,ORL,"data addr,#data",2,(($1)&0xff),(($2)&0xff),
44,2,ORL,"A,#data",2,,(($1)&0xff),
45,2,ORL,"A,data addr",2,,(($1)&0xff),
46,1,ORL,"A,@R0",-1,,,
47,1,ORL,"A,@R1",-1,,,
48,1,ORL,"A,R0",-1,,,
49,1,ORL,"A,R1",-1,,,
4A,1,ORL,"A,R2",-1,,,
4B,1,ORL,"A,R3",-1,,,
4C,1,ORL,"A,R4",-1,,,
4D,1,ORL,"A,R5",-1,,,
