LOGICAL OPERATIONS,,,,,,,,,,,,,,,,
Mnemonic,,Description,Byte,Oscillator Period,,,,,,,,,,,,
ANL,"A,Rn",AND Register to Accumulator,1,12,,,,,,,,,,,,
ANL,"A,direct",AND direct byte to Accumulator,2,12,,,,,,,,,,,,
ANL,"A,@Ri",AND indirect RAM to Accumulator,1,12,,,,,,,,,,,,
ANL,"A,#data",AND immediate data to Accumulator,2,12,,,,,,,,,,,,
ANL,"direct,A",AND Accumulator to direct byte,2,12,,,,,,,,,,,,
ANL,"direct,#data",AND immediate data to direct byte,3,24,,,,,,,,,,,,
ORL,"A,Rn",OR register to Accumulator,1,12,,,,,,,,,,,,
ORL,"A,direct",OR direct byte to Accumulator,2,12,,,,,,,,,,,,
ORL,"A,@Ri",OR indirect RAM to Accumulator,1,12,,,,,,,,,,,,
ORL,"A,#data",OR immediate data to Accumulator,2,12,,,,,,,,,,,,
ORL,"direct,A",OR Accumulator to direct byte,2,12,,,,,,,,,,,,
ORL,"direct,#data",OR immediate data to direct byte,3,24,,,,,,,,,,,,
XRL,"A,Rn",Exclusive-OR register to Accumulator,1,12,,,,,,,,,,,,
XRL,"A,direct",Exclusive-OR direct byte to Accumulator,2,12,,,,,,,,,,,,
XRL,"A,@Ri",Exclusive-OR indirect RAM to Accumulator,1,12,,,,,,,,,,,,
XRL,"A,#data",Exclusive-OR immediate data to Accumulator,2,12,,,,,,,,,,,,
XRL,"direct,A",Exclusive-OR Accumulator to direct byte,2,12,,,,,,,,,,,,
XRL,"direct,#data",Exclusive-OR immediate data to direct byte,3,24,,,,,,,,,,,,
CLR,A,Clear Accumulator,1,12,,,,,,,,,,,,
CPL,A,Complement Accumulator,1,12,,,,,,,,,,,,
RL,A,Rotate Accumulator Left,1,12,,,,,,,,,,,,
RLC,A,Rotate Accumulator Left through the Carry,1,12,,,,,,,,,,,,
RR,A,Rotate Accumulator Right,1,12,,,,,,,,,,,,
RRC,A,Rotate Accumulator Right through the Carry,1,12,,,,,,,,,,,,
SWAP,A,Swap nibbles within the Accumulator,1,12,,,,,,,,,,,,
