Mnemonic|Operands|Description|Byte|Oscillator Period|Class|
ADD|"A,Rn"|Add register to Accumulator|1|12|ARITHMETIC OPERATIONS|
ADD|"A,direct"|Add direct byte to Accumulator|2|12|ARITHMETIC OPERATIONS|
ADD|"A,@Ri"|Add indirect RAM to Accumulator|1|12|ARITHMETIC OPERATIONS|
ADD|"A,#data"|Add immediate data to Accumulator|2|12|ARITHMETIC OPERATIONS|
ADDC|"A,Rn"|Add register to Accumulator with Carry|1|12|ARITHMETIC OPERATIONS|
ADDC|"A,direct"|Add direct byte to Accumulator with Carry|2|12|ARITHMETIC OPERATIONS|
ADDC|"A,@Ri"|Add indirect RAM to Accumulator with Carry|1|12|ARITHMETIC OPERATIONS|
ADDC|"A,#data"|Add immediate data to Acc with Carry|2|12|ARITHMETIC OPERATIONS|
SUBB|"A,Rn"|Subtract Register from Acc with borrow|1|12|ARITHMETIC OPERATIONS|
SUBB|"A,direct"|Subtract direct byte from Acc with borrow|2|12|ARITHMETIC OPERATIONS|
SUBB|"A,@Ri"|Subtract indirect RAM from ACC with borrow|1|12|ARITHMETIC OPERATIONS|
SUBB|"A,#data"|Subtract immediate data from Acc with borrow|2|12|ARITHMETIC OPERATIONS|
INC|A|Increment Accumulator|1|12|ARITHMETIC OPERATIONS|
INC|Rn|Increment register|1|12|ARITHMETIC OPERATIONS|
INC|direct|Increment direct byte|2|12|ARITHMETIC OPERATIONS|
INC|@Ri|Increment direct RAM|1|12|ARITHMETIC OPERATIONS|
DEC|A|Decrement Accumulator|1|12|ARITHMETIC OPERATIONS|
DEC|Rn|Decrement Register|1|12|ARITHMETIC OPERATIONS|
DEC|direct|Decrement direct byte|2|12|ARITHMETIC OPERATIONS|
DEC|@Ri|Decrement indirect RAM|1|12|ARITHMETIC OPERATIONS|
INC|DPTR|Increment Data Pointer|1|24|ARITHMETIC OPERATIONS|
MUL|AB|Multiply A & B|1|48|ARITHMETIC OPERATIONS|
DIV|AB|Divide A by B|1|48|ARITHMETIC OPERATIONS|
DA|A|Decimal Adjust Accumulator|1|12|ARITHMETIC OPERATIONS|
CLR|C|Clear Carry|1|12|BOOLEAN VARIABLE MANIPULATION|
CLR|bit|Clear direct bit|2|12|BOOLEAN VARIABLE MANIPULATION|
SETB|C|Set Carry|1|12|BOOLEAN VARIABLE MANIPULATION|
SETB|bit|Set direct bit|2|12|BOOLEAN VARIABLE MANIPULATION|
CPL|C|Complement Carry|1|12|BOOLEAN VARIABLE MANIPULATION|
CPL|bit|Complement direct bit|2|12|BOOLEAN VARIABLE MANIPULATION|
ANL|"C,bit"|AND direct bit to CARRY|2|24|BOOLEAN VARIABLE MANIPULATION|
ANL|"C,/bit"|AND complement of direct bit to Carry|2|24|BOOLEAN VARIABLE MANIPULATION|
ORL|"C,bit"|OR direct bit to Carry|2|24|BOOLEAN VARIABLE MANIPULATION|
ORL|"C,/bit"|OR complement of direct bit to Carry|2|24|BOOLEAN VARIABLE MANIPULATION|
MOV|"C,bit"|Move direct bit to Carry|2|12|BOOLEAN VARIABLE MANIPULATION|
MOV|"bit,C"|Move Carry to direct bit|2|24|BOOLEAN VARIABLE MANIPULATION|
JC|rel|Jump if Carry is set|2|24|BOOLEAN VARIABLE MANIPULATION|
JNC|rel|Jump if Carry not set|2|24|BOOLEAN VARIABLE MANIPULATION|
JB|"bit,rel"|Jump if direct Bit is set|3|24|BOOLEAN VARIABLE MANIPULATION|
JNB|"bit,rel"|Jump if direct Bit is Not set|3|24|BOOLEAN VARIABLE MANIPULATION|
JBC|"bit,rel"|Jump if direct Bit is set & clear bit|3|24|BOOLEAN VARIABLE MANIPULATION|
MOV|"A,Rn"|Move register to Accumulator|1|12|DATA TRANSFER|
MOV|"A,direct"|Move direct byte to Accumulator|2|12|DATA TRANSFER|
MOV|"A,@Ri"|Move indirect RAM to Accumulator|1|12|DATA TRANSFER|
MOV|"A,#data"|Move immediate data to Accumulator|2|12|DATA TRANSFER|
MOV|"Rn,A"|Move Accumulator to register|1|12|DATA TRANSFER|
MOV|"Rn,direct"|Move direct byte to register|2|24|DATA TRANSFER|
MOV|"Rn,#data"|Move immediate data to register|2|12|DATA TRANSFER|
MOV|"direct,A"|Move Accumulator to direct byte|2|12|DATA TRANSFER|
MOV|"direct,Rn"|Move register to direct byte|2|24|DATA TRANSFER|
MOV|"direct,direct"|Move direct byte to direct|3|24|DATA TRANSFER|
MOV|"direct,@Ri"|Move indirect RAM to direct byte|2|24|DATA TRANSFER|
MOV|"direct,#data"|Move immediate data to direct byte|3|24|DATA TRANSFER|
MOV|"@Ri,A"|Move Accumulator to indirect RAM|1|12|DATA TRANSFER|
MOV|"@Ri,direct"|Move direct byte to indirect RAM|2|24|DATA TRANSFER|
MOV|"@Ri,#data"|Move immediate data to indirect RAM|2|12|DATA TRANSFER|
MOV|"DPTR,#data16"|Load Data Pointer with a 16-bit constant|3|24|DATA TRANSFER|
