Hex Code|Humber of Bytes|Mnemonic|Operands|
0|1|NOP||
1|2|AJMP|code addr|
2|3|LJMP|code addr|
3|1|RR|A|
4|1|INC|A|
5|2|INC|data addr|
6|1|INC|@R0|
7|1|INC|@R1|
8|1|INC|R0|
9|1|INC|R1|
0A|1|INC|R2|
0B|1|INC|R3|
0C|1|INC|R4|
0D|1|INC|R5|
0E|1|INC|R6|
0F|1|INC|R7|
10|3|JBC|"bit addr,code addr"|
11|2|ACALL|code addr|
12|3|LCALL|code addr|
13|1|RRC|A|
14|1|DEC|A|
15|2|DEC|data addr|
16|1|DEC|@R0|
17|1|DEC|@R1|
18|1|DEC|R0|
19|1|DEC|R1|
1A|1|DEC|R2|
1B|1|DEC|R3|
1C|1|DEC|R4|
1D|1|DEC|R5|
1E|1|DEC|R6|
1F|1|DEC|R7|
20|3|JB|"bit addr,code addr"|
21|2|AJMP|code addr|
22|1|RET||
23|1|RL|A|
24|2|ADD|"A,#data"|
25|2|ADD|"A,data addr"|
26|1|ADD|"A,@R0"|
27|1|ADD|"A,@R1"|
28|1|ADD|"A,R0"|
29|1|ADD|"A,R1"|
2A|1|ADD|"A,R2"|
2B|1|ADD|"A,R3"|
2C|1|ADD|"A,R4"|
2D|1|ADD|"A,R5"|
2E|1|ADD|"A,R6"|
2F|1|ADD|"A,R7"|
30|3|JNB|"bit addr,code addr"|
31|2|ACALL|code addr|
32|1|RETI||
33|1|RLC|A|
34|2|ADDC|"A,#data"|
35|2|ADDC|"A,data addr"|
36|1|ADDC|"A,@R0"|
37|1|ADDC|"A,@R1"|
38|1|ADDC|"A,R0"|
39|1|ADDC|"A,R1"|
3A|1|ADDC|"A,R2"|
3B|1|ADDC|"A,R3"|
3C|1|ADDC|"A,R4"|
3D|1|ADDC|"A,R5"|
3E|1|ADDC|"A,R6"|
3F|1|ADDC|"A,R7"|
40|2|JC|code addr|
41|2|AJMP|code addr|
42|2|ORL|"data addr,A"|
43|3|ORL|"data addr,#data"|
44|2|ORL|"A,#data"|
45|2|ORL|"A,data addr"|
46|1|ORL|"A,@R0"|
47|1|ORL|"A,@R1"|
48|1|ORL|"A,R0"|
49|1|ORL|"A,R1"|
4A|1|ORL|"A,R2"|
4B|1|ORL|"A,R3"|
4C|1|ORL|"A,R4"|
4D|1|ORL|"A,R5"|
4E|1|ORL|"A,R6"|
4F|1|ORL|"A,R7"|
50|2|JNC|code addr|
51|2|ACALL|code addr|
52|2|ANL|"data addr,A"|
53|3|ANL|"data addr,#data"|
54|2|ANL|"A,#data"|
55|2|ANL|"A,data addr"|
56|1|ANL|"A,@R0"|
57|1|ANL|"A,@R1"|
58|1|ANL|"A,R0"|
59|1|ANL|"A,R1"|
5A|1|ANL|"A,R2"|
5B|1|ANL|"A,R3"|
5C|1|ANL|"A,R4"|
5D|1|ANL|"A,R5"|
5E|1|ANL|"A,R6"|
5F|1|ANL|"A,R7"|
60|2|JZ|code addr|
61|2|AJMP|code addr|
62|2|XRL|"data addr,A"|
63|3|XRL|"data addr,#data"|
64|2|XRL|"A,#data"|
65|2|XRL|"A,data addr"|
66|1|XRL|"A,@R0"|
67|1|XRL|"A,@R1"|
68|1|XRL|"A,R0"|
69|1|XRL|"A,R1"|
6A|1|XRL|"A,R2"|
6B|1|XRL|"A,R3"|
6C|1|XRL|"A,R4"|
6D|1|XRL|"A,R5"|
6E|1|XRL|"A,R6"|
6F|1|XRL|"A,R7"|
70|2|JNZ|code addr|
71|2|ACALL|code addr|
72|2|ORL|"C,bit addr"|
73|1|JMP|@A+DPTR|
74|2|MOV|"A,#data"|
75|3|MOV|"data addr,#data"|
76|2|MOV|"@R0,#data"|
77|2|MOV|"@R1,#data"|
78|2|MOV|"R0,#data"|
79|2|MOV|"R1,#data"|
7A|2|MOV|"R2,#data"|
7B|2|MOV|"R3,#data"|
7C|2|MOV|"R4,#data"|
7D|2|MOV|"R5,#data"|
7E|2|MOV|"R6,#data"|
7F|2|MOV|"R7,#data"|
80|2|SJMP|code addr|
81|2|AJMP|code addr|
82|2|ANL|"C,bit addr"|
83|1|MOVC|"A,@A+PC"|
84|1|DIV|AB|
85|3|MOV|"data addr,data addr"|
86|2|MOV|"data addr,@R0"|
87|2|MOV|"data addr,@R1"|
88|2|MOV|"data addr,R0"|
89|2|MOV|"data addr,R1"|
8A|2|MOV|"data addr,R2"|
8B|2|MOV|"data addr,R3"|
8C|2|MOV|"data addr,R4"|
8D|2|MOV|"data addr,R5"|
8E|2|MOV|"data addr,R6"|
8F|2|MOV|"data addr,R7"|
90|3|MOV|"DPTR,#data"|
91|2|ACALL|code addr|
92|2|MOV|"bit addr,C"|
93|1|MOVC|"A,@A+DPTR"|
94|2|SUBB|"A,#data"|
95|2|SUBB|"A,data addr"|
96|1|SUBB|"A,@R0"|
97|1|SUBB|"A,@R1"|
98|1|SUBB|"A,R0"|
99|1|SUBB|"A,R1"|
9A|1|SUBB|"A,R2"|
9B|1|SUBB|"A,R3"|
9C|1|SUBB|"A,R4"|
9D|1|SUBB|"A,R5"|
9E|1|SUBB|"A,R6"|
9F|1|SUBB|"A,R7"|
A0|2|ORL|"C,/bit addr"|
A1|2|AJMP|code addr|
A2|2|MOV|"C,bit addr"|
